name,current_rank,current_pts
Anouck Vrancken Peeters,315,221
Tereza Martincová,316,220
Alina Granwehr,317,220
Victoria Bosio,318,217
Martina Trevisan,319,215
Kathinka von Deichmann,320,213
Ena Koike,321,213
Océane Dodin,322,212
Anna Rogers,323,212
Amandine Monnot,324,209
Deborah Chiesa,325,209
Lisa Zaar,326,209
Manon Léonard,327,207
Gabriela Cé,328,207
Mell Reasco González,329,206
Mingge Xu,330,205
Miriam Bulgaru,331,205
Sohyun Park,332,204
Lucciana Perez Alarcon,333,203
Jessica Pieri,334,202
Lea Bošković,335,198
Kira Pavlova,336,196
Tessa Johanna Brockmann,337,195
Margaux Rouvroy,338,194
Martina Colmegna,339,193
Sahaja Yamalapalli,340,192
Sakura Hosogi,341,192
Angelina Voloshchuk,342,192
Eunhye Lee,343,192
Malaika Rapolu,344,191
Isabella Shinikova,345,190
Madison Sieg,346,187
Radka Zelníčková,347,186
Natalija Senić,348,186
Varvara Panshina,349,185
Francesca Pace,350,185
Daria Egorova,351,184
Miriana Tona,352,183
Joelle Steur,353,183
Maria Teixido Garcia,354,181
Hiromi Abe,355,181
Yuriko Miyazaki,356,178
Dalila Spiteri,357,178
Dalila Jakupović,358,177
Yidi Yang,359,177
Antonia Vergara Rivera,360,175
Naiktha Bains,361,175
Eryn Cayetano,362,175
Aoi Ito,363,174
Miho Kuramochi,364,174
Momoko Kobori,365,173
Raluca Șerban,366,173
Lea Nilsson,367,173
Sandra Samir,368,173
Diletta Cherubini,369,172
Lia Karatancheva,370,172
Rada Zolotareva,371,172
Yasmine Mansouri,372,169
Lucija Ćirić Bagarić,373,169
Jiajing Lu,374,168
Julia Stusek,375,168
Aliona Bolsova,376,167
Ariana Arseneault,377,166
Amelia Rajecki,378,166
Zuzanna Pawlikowska,379,166
Nastasja Schunk,380,166
Sonja Zhiyenbayeva,381,166
Stephanie Visscher,382,166
Camilla Rosatello,383,165
Yelyzaveta Kotliar,384,165
Jenny Lim,385,165
Carlota Martinez Cirez,386,164
Vaishnavi Adkar,387,164
Alessandra Mazzola,388,162
Katerina Tsygourova,389,162
Amarissa Tóth,390,161
Julie Belgraver,391,159
Priska Nugroho,392,159
Jiaqi Wang,393,159
Elena Milovanović,394,159
Sijia Wei,395,158
Kristiana Sidorova,396,158
Tiphanie Lemaître,397,158
Natsumi Kawaguchi,398,158
Lamis Alhussein Abdel Aziz,399,158
İpek Öz,400,156
Luna Vujović,401,156
Nina Vargová,402,156
Jule Niemeier,403,155
Ana Sofía Sánchez,404,154
Kylie Collins,405,154
Aunchisa Chanta,406,154
Silvia Ambrosio,407,153
Clara Burel,408,153
Eri Shimizu,409,153
Reina Goto,410,153
Maria Sara Popa,411,152
Julie Paštiková,412,152
Amandine Hesse,413,151
Misaki Matsuda,414,151
Rebecca Marino,415,150
Mariam Bolkvadze,416,149
Tina Smith,417,149
Alana Smith,418,149
Çağla Büyükakçay,419,149
Tena Lukas,420,148
Veronika Kudermetova,421,146
Lucie Nguyen Tan,422,146
Reese Brantmeier,423,145
Boyoung Jeong,424,145
Laura Hietaranta,425,145
